nosaukums,cena
"JBL Tune 770NC, aktīvā trokšņu slāpēšana, melna - Bezvadu austiņas","Drauga cena:69.99 €Parastā cena: 
                                129.99 €"
"Samsung Galaxy Buds FE, melna - Bezvadu austiņas",Cena:109.99 €
"Sony WH-1000XM5, bēša - Bezvadu austiņas",Cena:419.99 €
"Samsung Galaxy Buds3, sudraba - Bezvadu austiņas",Cena:179.99 €
"Logitech G PRO X 2, melna - Bezvadu austiņas ar mikrofonu",Cena:279.99 €
"JBL Tune 670NC, adaptīvā trokšņu slāpēšana, melna - Bezvadu austiņas","Drauga cena:59.99 €Parastā cena: 
                                99.99 €"
"JBL Quantum 910 Wireless, melna - Bezvadu austiņas ar mikrofonu",Cena:299.99 €
"Marshall Major V, melna - Bezvadu austiņas",Cena:149.99 €
"Apple AirPods Max, melna - Bezvadu austiņas","Drauga cena:579.99 €Parastā cena: 
                                599.99 €"
"JBL Live 670NC, adaptīvā trokšņu slāpēšana, zila - Bezvadu austiņas",Cena:129.99 €
"JBL Endurance PEAK 3, melna - Bezvadu sporta austiņas",Cena:99.99 €
"HyperX Cloud II Core, melna - Bezvadu austiņas ar mikrofonu",Cena:129.99 €
"Sennheiser ACCENTUM Wireless, trokšņu slāpēšana, melna - Bezvadu austiņas",Cena:179.99 €
"Sony ULT Wear 900N, trokšņu slāpēšana, melna - Bezvadu austiņas","Drauga cena:159.99 €Parastā cena: 
                                199.99 €"
"JBL Tune 670NC, adaptīvā trokšņu slāpēšana, zila - Bezvadu austiņas","Drauga cena:59.99 €Parastā cena: 
                                99.99 €"
"Sony WH-CH520, melna - Bezvadu austiņas","Drauga cena:39.99 €Parastā cena: 
                                49.99 €"
"JBL Tune 770NC, aktīvā trokšņu slāpēšana, lillā - Bezvadu austiņas","Drauga cena:69.99 €Parastā cena: 
                                129.99 €"
"Marshall Motif II ANC, trokšņu slāpēšana, melna - Bezvadu austiņas",Cena:199.99 €
"Philips TAT2236, melna - Bezvadu austiņas","Drauga cena:29.99 €Parastā cena: 
                                49.99 €"
"JBL Quantum 610, melna - Bezvadu austiņas ar mikrofonu",Cena:159.99 €
"Beats Studio Pro, aktīvā trokšņu slāpēšana, tumši brūna - Bezvadu austiņas",Cena:399.99 €
"Logitech G PRO X 2, balta - Bezvadu austiņas ar mikrofonu",Cena:279.99 €
"Samsung Galaxy Buds3, balta - Bezvadu austiņas",Cena:179.99 €
"JLab GO Air Pop, melna - Bezvadu austiņas","Drauga cena:25.99 €Parastā cena: 
                                39.99 €"
"Sony WH-1000XM5, zila - Bezvadu austiņas",Cena:419.99 €
"Logitech G733 LIGHTSPEED Wireless RGB, melna - Bezvadu austiņas ar mikrofonu",Cena:129.99 €
"Sony PULSE 3D PS5, melna - Bezvadu austiņas ar mikrofonu",Cena:99.99 €
"JBL Tune 670NC, adaptīvā trokšņu slāpēšana, lillā - Bezvadu austiņas","Drauga cena:59.99 €Parastā cena: 
                                99.99 €"
"JBL Live 770NC, adaptīvā trokšņu slāpēšana, zila - Bezvadu austiņas",Cena:179.99 €
"Bowers & Wilkins Px7 S2e, trokšņu slāpēšana, melna - Bezvadu austiņas",Cena:249.99 €
"Shokz Openrun Pro, melna - Kaulu vadītspējas austiņas",Cena:199.99 €
"Samsung Galaxy Buds3 Pro, balta - Bezvadu austiņas",Cena:249.99 €
"Philips TAH-4205, melna - Bezvadu austiņas",Cena:49.99 €
"JBL Reflect Aero TWS, balta - Bezvadu austiņas","Drauga cena:89.99 €Parastā cena: 
                                149.99 €"
"JBL Tune 670NC, adaptīvā trokšņu slāpēšana, balta - Bezvadu austiņas","Drauga cena:59.99 €Parastā cena: 
                                99.99 €"
"Apple AirPods Max, bēša - Bezvadu austiņas","Drauga cena:579.99 €Parastā cena: 
                                599.99 €"
"Bowers & Wilkins Px8, trokšņu slāpēšana, melna - Bezvadu austiņas",Cena:459.99 €
"SteelSeries Arctis Nova 7P Wireless, PlayStation 5, melna - Bezvadu austiņas ar mikrofonu",Cena:199.99 €
